,place_name,city,state,type,rating,established_year,time_to_visit_hr,entrance_fee_inr,weekly_off,significance,dslr_allowed,google_reviews_lakh,best_time_text,has_airport_nearby,zone
0,India Gate,Delhi,Delhi,War Memorial,4.6,1921,0.5,0,,Historical,Yes,2.6,Evening,Yes,Northern
1,Humayun's Tomb,Delhi,Delhi,Tomb,4.5,1572,2,30,,Historical,Yes,0.4,Afternoon,Yes,Northern
2,Akshardham Temple,Delhi,Delhi,Temple,4.6,2005,5,60,,Religious,No,0.4,Afternoon,Yes,Northern
3,Waste to Wonder Park,Delhi,Delhi,Theme Park,4.1,2019,2,50,Monday,Environmental,Yes,0.27,Evening,Yes,Northern
4,Jantar Mantar,Delhi,Delhi,Observatory,4.2,1724,2,15,,Scientific,Yes,0.31,Morning,Yes,Northern
5,Chandni Chowk,Delhi,Delhi,Market,4.2,1700,3,0,Sunday,Market,Yes,0.25,Afternoon,Yes,Northern
6,Lotus Temple,Delhi,Delhi,Temple,4.5,1986,1,0,Monday,Religious,Yes,0.59,Evening,Yes,Northern
7,Red Fort,Delhi,Delhi,Fort,4.5,1648,2,35,,Historical,Yes,1.5,Afternoon,Yes,Northern
8,Agrasen ki Baoli,Delhi,Delhi,Stepwell,4.2,1400,1,0,,Historical,Yes,0.41,Afternoon,Yes,Northern
9,Sunder Nursery,Delhi,Delhi,Park,4.6,1600,2,0,,Botanical,Yes,0.16,Afternoon,Yes,Northern
10,Garden of Five Senses,Delhi,Delhi,Park,4.1,2003,2,35,,Botanical,Yes,0.23,Morning,Yes,Northern
11,Lodhi Garden,Delhi,Delhi,Park,4.5,1500,1,0,,Botanical,Yes,0.48,All,Yes,Northern
12,National Gallery of Modern Art,Delhi,Delhi,Museum,4.5,1954,3,20,Monday,Artistic,Yes,0.08,All,Yes,Northern
13,National Zoological Park ,Delhi,Delhi,Zoo,4.1,1959,3,80,Friday,Environmental,Yes,0.41,All,Yes,Northern
14,Qutub Minar,Delhi,Delhi,Monument,4.5,1192,1,35,,Historical,Yes,1.37,Afternoon,Yes,Northern
15,National Science Centre,Delhi,Delhi,Science,4.4,1992,5,70,,Scientific,Yes,0.23,All,Yes,Northern
16,Marine Drive,Mumbai,Maharastra,Promenade,4.5,Unknown,2,0,,Scenic,Yes,1.5,Evening,Yes,Western
17,Gateway of India,Mumbai,Maharastra,Monument,4.6,1924,1,0,,Historical,Yes,3.6,All,Yes,Western
18,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Mumbai,Maharastra,Museum,4.6,1922,1,500,,Historical,Yes,0.34,All,Yes,Western
19,Sanjay Gandhi National Park,Mumbai,Maharastra,National Park,4.3,1996,3,50,Monday,Wildlife,Yes,0.6,All,Yes,Western
20,Siddhivinayak Temple,Mumbai,Maharastra,Temple,4.8,1881,2,0,,Religious,No,1.05,All,Yes,Western
21,Mahalaxmi Temple,Mumbai,Maharastra,Temple,4.7,1831,1,0,,Religious,No,0.33,All,Yes,Western
22,Haji Ali Dargah,Mumbai,Maharastra,Religious Shrine,4.4,1431,2,0,,Religious,No,0.16,All,Yes,Western
23,Chowpatty Beach,Mumbai,Maharastra,Beach,4.3,Unknown,2,0,,Recreational,Yes,0.05,Evening,Yes,Western
